coicop,date,weighted_yes_no,values
Headline inflation,2023-07-01,Weighted,0.016751711205008332
Core inflation,2023-06-01,Unweighted,0.02206688397624487
Headline inflation,2023-06-01,Unweighted,0.027744084243786386
Core inflation,2023-06-01,Weighted,0.013094232382862125
Headline inflation,2023-06-01,Weighted,0.019985637731927974
Core inflation,2023-05-01,Unweighted,0.02466720601591471
Headline inflation,2023-05-01,Unweighted,0.03119965418161925
Core inflation,2023-05-01,Weighted,0.014506350686014888
Headline inflation,2023-05-01,Weighted,0.018408507266569996
Core inflation,2023-04-01,Unweighted,0.02556410929820412
Headline inflation,2023-04-01,Unweighted,0.03674521093034832
Core inflation,2023-04-01,Weighted,0.01381693699404782
Headline inflation,2023-04-01,Weighted,0.01941560061219129
Core inflation,2023-03-01,Unweighted,0.02690504746227682
Headline inflation,2023-03-01,Unweighted,0.04199924811357059
Core inflation,2023-03-01,Weighted,0.013458257722825537
Headline inflation,2023-03-01,Weighted,0.021334476156583237
Core inflation,2023-02-01,Unweighted,0.02803808500105376
Headline inflation,2023-02-01,Unweighted,0.043708965718837665
Core inflation,2023-02-01,Weighted,0.013381296705022314
Headline inflation,2023-02-01,Weighted,0.01961640234031919
Core inflation,2023-01-01,Unweighted,0.02936682697050857
Headline inflation,2023-01-01,Unweighted,0.04604971569716227
Core inflation,2023-01-01,Weighted,0.01384554891098136
Headline inflation,2023-01-01,Weighted,0.02127871803600405
Core inflation,2022-12-01,Unweighted,0.028161377059631457
Headline inflation,2022-12-01,Unweighted,0.04372882946427664
Core inflation,2022-12-01,Weighted,0.01316032589899535
Headline inflation,2022-12-01,Weighted,0.025312422940618008
Core inflation,2022-11-01,Unweighted,0.027346701908331796
Headline inflation,2022-11-01,Unweighted,0.04748950022456488
Core inflation,2022-11-01,Weighted,0.012026430382904765
Headline inflation,2022-11-01,Weighted,0.02550975911465233
Core inflation,2022-10-01,Unweighted,0.02620460987970186
Headline inflation,2022-10-01,Unweighted,0.04897485928622219
Core inflation,2022-10-01,Weighted,0.012061568522660179
Headline inflation,2022-10-01,Weighted,0.029656596324552448
Core inflation,2022-09-01,Unweighted,0.025107977344178672
Headline inflation,2022-09-01,Unweighted,0.05168670805413791
Core inflation,2022-09-01,Weighted,0.012030372476458173
Headline inflation,2022-09-01,Weighted,0.029035642836922924
Core inflation,2022-08-01,Unweighted,0.023858353938014647
Headline inflation,2022-08-01,Unweighted,0.05056759415818957
Core inflation,2022-08-01,Weighted,0.011794082917690945
Headline inflation,2022-08-01,Weighted,0.022463167505012694
Core inflation,2022-07-01,Unweighted,0.023811761799581315
Headline inflation,2022-07-01,Unweighted,0.04695473744385173
Core inflation,2022-07-01,Weighted,0.011883873363664879
Headline inflation,2022-07-01,Weighted,0.02013912822251904
