coicop,date,weighted_yes_no,values
Inflation globale,2022-09-01,Écart-type pondéré,0.029035642836922924
Inflation sous-jacente,2022-08-01,Écart-type non-pondéré,0.023858353938014647
Inflation globale,2022-08-01,Écart-type non-pondéré,0.05056759415818957
Inflation sous-jacente,2022-08-01,Écart-type pondéré,0.011794082917690945
Inflation globale,2022-08-01,Écart-type pondéré,0.022463167505012694
Inflation sous-jacente,2022-07-01,Écart-type non-pondéré,0.023811761799581315
Inflation globale,2022-07-01,Écart-type non-pondéré,0.04695473744385173
Inflation sous-jacente,2022-07-01,Écart-type pondéré,0.011883873363664879
Inflation globale,2022-07-01,Écart-type pondéré,0.02013912822251904
Inflation sous-jacente,2022-06-01,Écart-type non-pondéré,0.021962647716904312
Inflation globale,2022-06-01,Écart-type non-pondéré,0.04395619829354049
Inflation sous-jacente,2022-06-01,Écart-type pondéré,0.010560355756133222
Inflation globale,2022-06-01,Écart-type pondéré,0.018654338113051238
Inflation sous-jacente,2022-05-01,Écart-type non-pondéré,0.020103416834484945
Inflation globale,2022-05-01,Écart-type non-pondéré,0.039396232788107256
Inflation sous-jacente,2022-05-01,Écart-type pondéré,0.009052954613778814
Inflation globale,2022-05-01,Écart-type pondéré,0.01791193821944396
Inflation sous-jacente,2022-04-01,Écart-type non-pondéré,0.021745598465702867
Inflation globale,2022-04-01,Écart-type non-pondéré,0.03565518342770316
Inflation sous-jacente,2022-04-01,Écart-type pondéré,0.010064226890472159
Inflation globale,2022-04-01,Écart-type pondéré,0.0180781687308494
Inflation sous-jacente,2022-03-01,Écart-type non-pondéré,0.018898343007286447
Inflation globale,2022-03-01,Écart-type non-pondéré,0.030743206352657905
Inflation sous-jacente,2022-03-01,Écart-type pondéré,0.008917010454353131
Inflation globale,2022-03-01,Écart-type pondéré,0.019305074146070647
Inflation sous-jacente,2022-02-01,Écart-type non-pondéré,0.016428072892076186
Inflation globale,2022-02-01,Écart-type non-pondéré,0.02522237936937417
Inflation sous-jacente,2022-02-01,Écart-type pondéré,0.007969316884250595
Inflation globale,2022-02-01,Écart-type pondéré,0.015046264431843304
Inflation sous-jacente,2022-01-01,Écart-type non-pondéré,0.015755617210512905
Inflation globale,2022-01-01,Écart-type non-pondéré,0.023850411008264783
Inflation sous-jacente,2022-01-01,Écart-type pondéré,0.007806237974800615
Inflation globale,2022-01-01,Écart-type pondéré,0.014723885692608083
Inflation sous-jacente,2021-12-01,Écart-type non-pondéré,0.014372488338928357
Inflation globale,2021-12-01,Écart-type non-pondéré,0.024097608529522287
Inflation sous-jacente,2021-12-01,Écart-type pondéré,0.010362816033214267
Inflation globale,2021-12-01,Écart-type pondéré,0.013391782746621263
Inflation sous-jacente,2021-11-01,Écart-type non-pondéré,0.013453526244856871
Inflation globale,2021-11-01,Écart-type non-pondéré,0.01850995464750337
Inflation sous-jacente,2021-11-01,Écart-type pondéré,0.011588006119038947
Inflation globale,2021-11-01,Écart-type pondéré,0.012697867958954171
Inflation sous-jacente,2021-10-01,Écart-type non-pondéré,0.013283448347473633
Inflation globale,2021-10-01,Écart-type non-pondéré,0.016464555230778888
Inflation sous-jacente,2021-10-01,Écart-type pondéré,0.007929737022142018
Inflation globale,2021-10-01,Écart-type pondéré,0.009760500577970515
Inflation sous-jacente,2021-09-01,Écart-type non-pondéré,0.01114497762742436
Inflation globale,2021-09-01,Écart-type non-pondéré,0.01425879230140957
Inflation sous-jacente,2021-09-01,Écart-type pondéré,0.0067589949468642935
Inflation globale,2021-09-01,Écart-type pondéré,0.007773024356707102
Inflation sous-jacente,2021-08-01,Écart-type non-pondéré,0.011878662869992875
Inflation globale,2021-08-01,Écart-type non-pondéré,0.012084788176180744
Inflation sous-jacente,2021-08-01,Écart-type pondéré,0.007893588632809275
Inflation globale,2021-08-01,Écart-type pondéré,0.0069496567178428835
Inflation sous-jacente,2021-07-01,Écart-type non-pondéré,0.012599498736896347
Inflation globale,2021-07-01,Écart-type non-pondéré,0.011751371700448645
Inflation sous-jacente,2021-07-01,Écart-type pondéré,0.010847029938269045
Inflation globale,2021-07-01,Écart-type pondéré,0.009035386257519552
Inflation sous-jacente,2021-06-01,Écart-type non-pondéré,0.011608866847099428
Inflation globale,2021-06-01,Écart-type non-pondéré,0.010755047774490776
Inflation sous-jacente,2021-06-01,Écart-type pondéré,0.007645688217241823
Inflation globale,2021-06-01,Écart-type pondéré,0.006111932227861858
Inflation sous-jacente,2021-05-01,Écart-type non-pondéré,0.013156847326732472
Inflation globale,2021-05-01,Écart-type non-pondéré,0.01182593047412961
Inflation sous-jacente,2021-05-01,Écart-type pondéré,0.009359323850218176
Inflation globale,2021-05-01,Écart-type pondéré,0.007180154348486934
Inflation sous-jacente,2021-04-01,Écart-type non-pondéré,0.010356284641653462
Inflation globale,2021-04-01,Écart-type non-pondéré,0.009842977726598583
Inflation sous-jacente,2021-04-01,Écart-type pondéré,0.007378350951884841
Inflation globale,2021-04-01,Écart-type pondéré,0.0063577612138355595
Inflation sous-jacente,2021-03-01,Écart-type non-pondéré,0.012201811772286762
Inflation globale,2021-03-01,Écart-type non-pondéré,0.01028744764007907
Inflation sous-jacente,2021-03-01,Écart-type pondéré,0.008613249905855512
